count,category,name,class,pop
1235,All Crime,Inglewood,Residential,4024
394,All Crime,Kelvin Grove,Residential,2305
1634,All Crime,Killarney/Glengarry,Residential,7685
423,All Crime,Kincora,Residential,6889
1438,All Crime,Kingsland,Residential,4688
1255,All Crime,Lake Bonavista,Residential,10293
560,All Crime,Lakeview,Residential,5355
559,All Crime,Legacy,Residential,6420
341,All Crime,Lincoln Park,Residential,2617
253,All Crime,Livingston,Residential,1477
1121,All Crime,Lower Mount Royal,Residential,3457
299,All Crime,Macewan Glen,Residential,4754
765,All Crime,Mahogany,Residential,11784
693,All Crime,Manchester,Residential,1025
2595,All Crime,Manchester Industrial,Industrial,0
235,All Crime,Maple Ridge,Residential,1916
2533,All Crime,Marlborough,Residential,9162
1584,All Crime,Marlborough Park,Residential,8523
1942,All Crime,Martindale,Residential,14245
54,All Crime,Mayfair,Residential,432
429,All Crime,Mayland,Industrial,0
1349,All Crime,Mayland Heights,Residential,5961
502,All Crime,Mccall,Industrial,0
772,All Crime,Mckenzie Lake,Residential,13406
1406,All Crime,Mckenzie Towne,Residential,18283
1009,All Crime,Meadowlark Park,Residential,644
35,All Crime,Medicine Hill,Residential,0
973,All Crime,Meridian,Industrial,0
715,All Crime,Midnapore,Residential,7270
550,All Crime,Millrise,Residential,6900
1429,All Crime,Mission,Residential,4598
965,All Crime,Monterey Park,Residential,10372
1571,All Crime,Montgomery,Residential,4515
1562,All Crime,Mount Pleasant,Residential,5889
690,All Crime,New Brighton,Residential,13103
377,All Crime,Nolan Hill,Residential,7505
663,All Crime,North Airways,Industrial,0
420,All Crime,North Glenmore Park,Residential,2391
231,All Crime,North Haven,Residential,2359
50,All Crime,North Haven Upper,Residential,599
187,All Crime,Nose Hill Park,Major Park,0
465,All Crime,Oakridge,Residential,5690
1405,All Crime,Ogden,Residential,8576
51,All Crime,Ogden Shops,Industrial,0
359,All Crime,Palliser,Residential,3672
1376,All Crime,Panorama Hills,Residential,25710
440,All Crime,Parkdale,Residential,2566
552,All Crime,Parkhill,Residential,1691
225,All Crime,Parkland,Residential,3660
363,All Crime,Patterson,Residential,4202
162,All Crime,Pegasus,Industrial,0
1686,All Crime,Penbrooke Meadows,Residential,8554
56,All Crime,Pine Creek,Residential,14
2244,All Crime,Pineridge,Residential,10022
112,All Crime,Point Mckay,Residential,1343
156,All Crime,Pump Hill,Residential,1640
77,All Crime,Queens Park Village,Residential,455
385,All Crime,Queensland,Residential,4743
486,All Crime,Ramsay,Residential,2158
620,All Crime,Ranchlands,Residential,7607
46,All Crime,Rangeview,Residential,0
272,All Crime,Red Carpet,Residential,1594
486,All Crime,Redstone,Residential,5848
1733,All Crime,Renfrew,Residential,6582
1123,All Crime,Richmond,Residential,4962
106,All Crime,Rideau Park,Residential,594
756,All Crime,Riverbend,Residential,9244
377,All Crime,Rocky Ridge,Residential,8398
283,All Crime,Rosedale,Residential,1560
198,All Crime,Rosemont,Residential,1254
1266,All Crime,Rosscarrock,Residential,3625
65,All Crime,Roxboro,Residential,422
550,All Crime,Royal Oak,Residential,11706
200,All Crime,Royal Vista,Industrial,0
2230,All Crime,Rundle,Residential,11688
349,All Crime,Rutland Park,Residential,2263
2281,All Crime,Saddle Ridge,Residential,22321
